protein,ligand,job_id,rmsd_angstrom,confidence,confidence_score,vina_affinity,smina_affinity,affinity_diff,best_affinity,vina_output,smina_output
BRAF,afatinib,BRAF_afatinib,0.094,HIGH,1.0,-8.38,-8.4,0.02,-8.4,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/BRAF/afatinib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/BRAF/afatinib_docked.pdbqt
BRAF,axitinib,BRAF_axitinib,0.216,HIGH,1.0,-8.46,-8.4,0.06,-8.46,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/BRAF/axitinib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/BRAF/axitinib_docked.pdbqt
BRAF,azd3759,BRAF_azd3759,0.038,HIGH,1.0,-9.56,-9.6,0.04,-9.6,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/BRAF/azd3759_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/BRAF/azd3759_docked.pdbqt
BRAF,cediranib,BRAF_cediranib,0.67,HIGH,1.0,-8.31,-8.4,0.09,-8.4,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/BRAF/cediranib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/BRAF/cediranib_docked.pdbqt
BRAF,dabrafenib,BRAF_dabrafenib,0.244,HIGH,1.0,-9.36,-9.5,0.14,-9.5,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/BRAF/dabrafenib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/BRAF/dabrafenib_docked.pdbqt
BRAF,erlotinib,BRAF_erlotinib,1.119,HIGH,1.0,-7.17,-7.1,0.07,-7.17,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/BRAF/erlotinib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/BRAF/erlotinib_docked.pdbqt
BRAF,foretinib,BRAF_foretinib,0.282,HIGH,1.0,-9.37,-9.3,0.07,-9.37,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/BRAF/foretinib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/BRAF/foretinib_docked.pdbqt
BRAF,gefitinib,BRAF_gefitinib,0.664,HIGH,1.0,-8.54,-8.6,0.06,-8.6,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/BRAF/gefitinib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/BRAF/gefitinib_docked.pdbqt
BRAF,lapatinib,BRAF_lapatinib,0.422,HIGH,1.0,-9.48,-9.6,0.12,-9.6,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/BRAF/lapatinib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/BRAF/lapatinib_docked.pdbqt
BRAF,osimertinib,BRAF_osimertinib,0.058,HIGH,1.0,-8.96,-9.0,0.04,-9.0,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/BRAF/osimertinib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/BRAF/osimertinib_docked.pdbqt
BRAF,sapitinib,BRAF_sapitinib,0.103,HIGH,1.0,-8.37,-8.3,0.07,-8.37,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/BRAF/sapitinib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/BRAF/sapitinib_docked.pdbqt
BRAF,sb590885,BRAF_sb590885,0.194,HIGH,1.0,-8.15,-8.4,0.25,-8.4,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/BRAF/sb590885_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/BRAF/sb590885_docked.pdbqt
BRAF,sorafenib,BRAF_sorafenib,0.068,HIGH,1.0,-9.77,-9.8,0.03,-9.8,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/BRAF/sorafenib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/BRAF/sorafenib_docked.pdbqt
