job_id,protein,ligand,status,output,log,affinity_kcal_mol,time_seconds,reason
EGFR_afatinib,EGFR,afatinib,SUCCESS,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/EGFR/afatinib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/EGFR/afatinib_vina.log,-8.571,148.6,
EGFR_azd3759,EGFR,azd3759,SUCCESS,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/EGFR/azd3759_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/EGFR/azd3759_vina.log,-9.239,121.8,
EGFR_erlotinib,EGFR,erlotinib,SUCCESS,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/EGFR/erlotinib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/EGFR/erlotinib_vina.log,-7.766,145.0,
EGFR_gefitinib,EGFR,gefitinib,SUCCESS,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/EGFR/gefitinib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/EGFR/gefitinib_vina.log,-8.536,188.2,
EGFR_lapatinib,EGFR,lapatinib,SUCCESS,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/EGFR/lapatinib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/EGFR/lapatinib_vina.log,-9.207,589.5,
EGFR_osimertinib,EGFR,osimertinib,SUCCESS,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/EGFR/osimertinib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/EGFR/osimertinib_vina.log,-9.022,358.5,
EGFR_sapitinib,EGFR,sapitinib,SUCCESS,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/EGFR/sapitinib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/EGFR/sapitinib_vina.log,-9.204,398.2,
BRAF_dabrafenib,BRAF,dabrafenib,SKIPPED,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/BRAF/dabrafenib_docked.pdbqt,,,,Already exists
BRAF_plx-4720,BRAF,plx-4720,SKIPPED,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/BRAF/plx-4720_docked.pdbqt,,,,Already exists
BRAF_sb590885,BRAF,sb590885,SKIPPED,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/BRAF/sb590885_docked.pdbqt,,,,Already exists
MEK1_pd0325901,MEK1,pd0325901,SKIPPED,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/MEK1/pd0325901_docked.pdbqt,,,,Already exists
MEK1_refametinib,MEK1,refametinib,SKIPPED,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/MEK1/refametinib_docked.pdbqt,,,,Already exists
MEK1_selumetinib,MEK1,selumetinib,SKIPPED,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/MEK1/selumetinib_docked.pdbqt,,,,Already exists
MEK1_trametinib,MEK1,trametinib,SKIPPED,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/MEK1/trametinib_docked.pdbqt,,,,Already exists
