job_id,protein,ligand,status,output,log,affinity_kcal_mol,time_seconds
EGFR_axitinib,EGFR,axitinib,SUCCESS,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/EGFR/axitinib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/EGFR/axitinib_smina.log,-8.4,43.5
EGFR_azd3759,EGFR,azd3759,SUCCESS,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/EGFR/azd3759_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/EGFR/azd3759_smina.log,-9.2,114.3
EGFR_cediranib,EGFR,cediranib,SUCCESS,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/EGFR/cediranib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/EGFR/cediranib_smina.log,-8.2,158.8
EGFR_dabrafenib,EGFR,dabrafenib,SUCCESS,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/EGFR/dabrafenib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/EGFR/dabrafenib_smina.log,-9.7,197.4
EGFR_erlotinib,EGFR,erlotinib,SUCCESS,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/EGFR/erlotinib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/EGFR/erlotinib_smina.log,-7.6,151.3
EGFR_foretinib,EGFR,foretinib,SUCCESS,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/EGFR/foretinib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/EGFR/foretinib_smina.log,-10.2,394.6
EGFR_gefitinib,EGFR,gefitinib,SUCCESS,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/EGFR/gefitinib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/EGFR/gefitinib_smina.log,-8.5,109.8
EGFR_lapatinib,EGFR,lapatinib,SUCCESS,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/EGFR/lapatinib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/EGFR/lapatinib_smina.log,-9.2,243.1
EGFR_motesanib,EGFR,motesanib,SUCCESS,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/EGFR/motesanib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/EGFR/motesanib_smina.log,-9.0,63.0
EGFR_osimertinib,EGFR,osimertinib,SUCCESS,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/EGFR/osimertinib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/EGFR/osimertinib_smina.log,-9.0,194.5
