feature,mi_score
hydrophobic_mean_distance,0.373057888177732
min_dist_to_protein,0.3730311508362343
total_energy_estimate,0.3726464648118437
ligand_efficiency,0.3726058565949044
atom_density,0.37257614108032966
hbond_min_distance,0.3724869206413439
pca_axis1_x,0.3723191745197143
dfg_GLY833_min_dist,0.3722409236391897
catalytic_lys_LYS721_mean_dist,0.3721055030082421
pharmacophore_span,0.37208819144608407
p_loop_GLY697_min_dist,0.3719488382440175
ligand_centroid_y,0.3719037995339045
hbond_mean_distance,0.37185180432166254
hinge_TRP793_min_dist,0.37183592660000864
lipophilic_efficiency,0.37179792973252024
pharmacophore_radius,0.37174555214943705
molecular_compactness,0.3717236275321607
fraction_csp3,0.37168630404790237
polar_fraction,0.3716853293486757
gatekeeper_LEU790_min_dist,0.37168260204118164
spatial_distribution_x,0.37168109187757636
p_loop_GLY695_min_dist,0.3716797020577345
catalytic_lys_LYS721_min_dist,0.37167050130771884
dfg_GLY833_mean_dist,0.37164396664931587
pharmacophore_triangular_area,0.371634987129136
spatial_distribution_y,0.3716009404166485
pca_axis1_y,0.37156958274325325
c_helix_GLU738_min_dist,0.37154874318091125
hbond_max_distance,0.3715444386587281
total_interactions,0.3715165108695535
c_helix_GLU738_mean_dist,0.3715063305864441
gatekeeper_LEU790_mean_dist,0.37149773199460334
p_loop_GLY695_mean_dist,0.37148555439903364
dfg_PHE832_mean_dist,0.37140734574597456
ligand_surface_area,0.37140044516176607
ligand_sasa,0.3713541790348063
centroid_distance,0.37134317685614704
pca_axis1_z,0.3713296247716049
hydrophobic_surface_area,0.3712991299558377
num_rotatable_bonds,0.3712549163223584
catalytic_lys_LYS721_contacts,0.3712465581354296
ligand_centroid_x,0.37112102882901166
p_loop_GLY697_mean_dist,0.3711115031133754
spatial_volume_ratio,0.37110541682731757
dfg_ASP831_contacts,0.3710971666896712
interaction_density,0.37108995853276294
num_heavy_atoms,0.3710790892427722
spatial_distribution_z,0.37091214826629537
best_affinity,0.3708795191116421
logp,0.3708182877631958
ligand_planarity,0.37078724168805177
dfg_PHE832_min_dist,0.3707529363886226
hydrophobic_min_distance,0.37063550511039134
ligand_centroid_z,0.37062507412455803
shape_complementarity,0.37060055045860363
pca_variance_pc3,0.3703487544590467
ligand_volume,0.3681653322609675
pca_variance_pc2,0.3643498332796118
num_hydrophobic_pharmacophore,0.3552334786119551
max_negative_charge,0.3203431001513366
num_hba_pharmacophore,0.3202531853300734
abs_total_charge,0.30944439996931505
num_hbd_pharmacophore,0.30251090716836604
total_charge,0.2990716893115273
max_positive_charge,0.2899486394746513
num_hbonds,0.28307220728599747
aromatic_min_distance,0.2640196907985053
aromatic_mean_distance,0.26318387122860276
num_negative_ionizable,0.24038383360091253
num_hbonds_lig_donor,0.23870985398917233
p_loop_GLY697_contacts,0.1808857231861205
num_aromatic_pharmacophore,0.17740393878463312
num_hbonds_prot_donor,0.17090322577457728
num_positive_ionizable,0.1599311278964941
p_loop_GLY695_contacts,0.1499903167101213
buried_surface_area,0.14402437413446534
num_polar_atoms,0.1331205655940133
dfg_PHE832_contacts,0.07277699477836919
num_halogen_atoms,0.04542387323233754
c_helix_GLU738_contacts,0.04029299103529449
