feature,shap_importance
gatekeeper_LEU790_mean_dist,0.38255626
catalytic_lys_LYS721_min_dist,0.13108847
hbond_max_distance,0.12362635
hinge_TRP793_min_dist,0.09290144
catalytic_lys_LYS721_contacts,0.058271285
dfg_ASP831_contacts,0.022699581
catalytic_lys_LYS721_mean_dist,0.015228231
gatekeeper_LEU790_min_dist,0.011351405
hydrophobic_mean_distance,0.010381257
p_loop_GLY695_min_dist,0.0040543913
num_hbonds,0.0039318125
dfg_GLY833_min_dist,0.0038070725
total_charge,0.0037846987
dfg_PHE832_min_dist,0.003068463
min_dist_to_protein,0.0028306644
c_helix_GLU738_min_dist,0.0026153217
pca_variance_pc2,0.0024841262
dfg_PHE832_mean_dist,0.0023807774
pca_axis1_x,0.002040363
centroid_distance,0.0020169937
spatial_distribution_x,0.0020043396
p_loop_GLY695_mean_dist,0.0014597154
pca_variance_pc3,0.0014054129
ligand_volume,0.0011413026
total_energy_estimate,0.0011152864
c_helix_GLU738_mean_dist,0.0010897313
ligand_planarity,0.0
ligand_surface_area,0.0
p_loop_GLY697_contacts,0.0
pca_axis1_y,0.0
pca_axis1_z,0.0
shape_complementarity,0.0
buried_surface_area,0.0
ligand_centroid_x,0.0
ligand_centroid_y,0.0
ligand_centroid_z,0.0
p_loop_GLY697_mean_dist,0.0
ligand_sasa,0.0
num_polar_atoms,0.0
polar_fraction,0.0
p_loop_GLY697_min_dist,0.0
abs_total_charge,0.0
max_positive_charge,0.0
max_negative_charge,0.0
logp,0.0
num_rotatable_bonds,0.0
num_heavy_atoms,0.0
fraction_csp3,0.0
best_affinity,0.0
ligand_efficiency,0.0
lipophilic_efficiency,0.0
p_loop_GLY695_contacts,0.0
num_hbonds_lig_donor,0.0
num_hbonds_prot_donor,0.0
hbond_min_distance,0.0
hbond_mean_distance,0.0
c_helix_GLU738_contacts,0.0
aromatic_min_distance,0.0
aromatic_mean_distance,0.0
hydrophobic_min_distance,0.0
dfg_GLY833_mean_dist,0.0
hydrophobic_surface_area,0.0
num_halogen_atoms,0.0
total_interactions,0.0
interaction_density,0.0
num_hbd_pharmacophore,0.0
num_hba_pharmacophore,0.0
num_aromatic_pharmacophore,0.0
num_hydrophobic_pharmacophore,0.0
num_positive_ionizable,0.0
num_negative_ionizable,0.0
pharmacophore_span,0.0
pharmacophore_radius,0.0
pharmacophore_triangular_area,0.0
dfg_PHE832_contacts,0.0
spatial_distribution_y,0.0
spatial_distribution_z,0.0
spatial_volume_ratio,0.0
molecular_compactness,0.0
atom_density,0.0
