feature,confirmed,tentative,ranking
dfg_GLY210_min_dist,False,True,2
a_loop_SER218_min_dist,False,False,36
a_loop_SER218_mean_dist,False,False,12
a_loop_SER222_min_dist,False,False,19
allosteric_TYR130_min_dist,False,False,27
allosteric_CYS207_min_dist,False,False,36
allosteric_CYS207_mean_dist,False,False,43
p_loop_GLY77_mean_dist,False,False,41
p_loop_GLY79_min_dist,False,False,21
p_loop_GLY79_contacts,False,False,38
centroid_distance,False,False,40
min_dist_to_protein,False,False,30
pca_variance_pc1,True,False,1
pca_variance_pc2,True,False,1
shape_complementarity,True,False,1
ligand_centroid_x,False,False,32
ligand_centroid_y,False,False,30
ligand_centroid_z,False,False,13
ligand_sasa,False,False,17
polar_fraction,False,False,6
max_positive_charge,False,False,24
max_negative_charge,False,False,8
logp,False,False,27
tpsa,False,False,3
num_rotatable_bonds,False,False,16
num_heavy_atoms,False,False,23
fraction_csp3,True,False,1
vina_affinity,True,False,1
best_affinity,False,False,3
lipophilic_efficiency,False,False,22
hbond_min_distance,False,False,11
hbond_mean_distance,False,False,40
hbond_max_distance,True,False,1
num_aromatic_interactions,False,False,18
aromatic_min_distance,False,False,20
aromatic_mean_distance,False,False,33
hydrophobic_min_distance,False,False,16
hydrophobic_mean_distance,False,False,8
num_halogen_atoms,False,False,14
total_interactions,False,False,8
interaction_density,False,False,11
num_hbd_pharmacophore,False,False,3
num_hba_pharmacophore,False,False,36
num_aromatic_pharmacophore,False,False,34
num_hydrophobic_pharmacophore,False,False,43
num_positive_ionizable,False,False,30
num_negative_ionizable,False,False,5
pharmacophore_span,False,False,3
pharmacophore_radius,True,False,1
pharmacophore_triangular_area,True,False,1
spatial_distribution_y,True,False,1
spatial_distribution_z,False,False,28
spatial_volume_ratio,False,False,25
molecular_compactness,True,False,1
atom_density,True,False,1
