feature,num_methods,boruta,mi,shap,mi_score,shap_importance,set_a_strict,set_b_expanded,set_c_biological
pca_variance_pc1,3,True,True,True,0.2987675507157452,0.30263045,True,True,True
pharmacophore_triangular_area,2,True,True,False,0.2990367740796502,0.0,True,True,True
vina_affinity,2,True,True,False,0.2987675507157452,0.0,True,True,True
dfg_GLY210_min_dist,2,False,True,True,0.298751275544308,0.76304865,True,True,True
shape_complementarity,2,True,True,False,0.2986504253780651,0.0,True,True,True
pca_variance_pc2,2,True,True,False,0.2986025139206822,0.0,True,True,True
pharmacophore_radius,2,True,True,False,0.2986025139206822,0.0,True,True,True
hbond_max_distance,2,True,True,False,0.2985678964201026,0.0,True,True,True
atom_density,2,True,True,False,0.298487649474096,0.0,True,True,True
allosteric_TYR130_min_dist,2,False,True,True,0.298332518956482,0.043283183,True,True,True
molecular_compactness,2,True,True,False,0.2981695405208537,0.0,True,True,True
fraction_csp3,2,True,True,False,0.298139763339974,0.0,True,True,True
spatial_distribution_y,2,True,True,False,0.2979278469907966,0.0,True,True,True
best_affinity,1,False,True,False,0.2988991957216496,0.0,False,True,True
logp,1,False,True,False,0.2987675507157452,0.0,False,True,True
num_heavy_atoms,1,False,True,False,0.2987675507157452,0.0,False,True,True
aromatic_mean_distance,1,False,True,False,0.2987675507157452,0.0,False,True,True
spatial_distribution_z,1,False,True,False,0.2987675507157452,0.0,False,True,True
allosteric_CYS207_mean_dist,1,False,True,False,0.2986025139206822,0.0014808589,False,True,True
hbond_min_distance,1,False,True,False,0.2985385429878908,0.0,False,True,True
num_aromatic_interactions,1,False,True,False,0.2985354410407466,0.0,False,True,True
a_loop_SER218_mean_dist,1,False,True,False,0.2985344340295008,0.034091603,False,True,True
ligand_centroid_x,1,False,True,False,0.2985334918332534,0.0,False,True,True
p_loop_GLY79_min_dist,1,False,True,False,0.2985078877847003,0.0,False,True,True
a_loop_SER222_min_dist,1,False,True,False,0.2984989743628599,0.003104009,False,True,True
num_rotatable_bonds,1,False,True,False,0.298487649474096,0.0,False,True,True
aromatic_min_distance,1,False,True,False,0.2984565308600171,0.0,False,True,True
pharmacophore_span,1,False,True,False,0.29842426996182,0.0,False,True,True
p_loop_GLY77_mean_dist,1,False,True,False,0.2984212705208606,0.0,False,True,True
ligand_centroid_y,1,False,True,False,0.2984179713924948,0.0,False,True,True
total_interactions,1,False,True,False,0.2983829768617025,0.0,False,True,True
centroid_distance,1,False,True,False,0.2983719219750926,0.0,False,True,True
min_dist_to_protein,1,False,True,False,0.2983530373245182,0.0,False,True,True
ligand_centroid_z,1,False,True,False,0.2983138348327621,0.0,False,False,False
hydrophobic_min_distance,1,False,True,False,0.2982077482324459,0.0,False,False,False
lipophilic_efficiency,1,False,True,False,0.2981387790087668,0.0,False,False,False
hydrophobic_mean_distance,1,False,True,False,0.2980797828387622,0.0,False,False,False
interaction_density,1,False,True,False,0.2980727072840505,0.0,False,False,False
allosteric_CYS207_min_dist,1,False,True,False,0.2979578518441634,0.0,False,False,False
polar_fraction,1,False,True,False,0.2978301656267763,0.0,False,False,False
a_loop_SER218_min_dist,1,False,True,False,0.2975500290481889,0.0251064,False,False,True
tpsa,1,False,True,False,0.2966448616721753,0.0,False,False,False
hbond_mean_distance,1,False,True,False,0.2963486992585615,0.0,False,False,False
spatial_volume_ratio,1,False,True,False,0.2679975746593164,0.0,False,False,False
ligand_sasa,1,False,True,False,0.2627269028679149,0.0,False,False,False
max_negative_charge,1,False,True,False,0.2627269028679149,0.0,False,False,False
p_loop_GLY79_contacts,1,False,True,False,0.2625618660728501,0.0,False,False,False
max_positive_charge,1,False,True,False,0.2621862162035717,0.0,False,False,False
num_aromatic_pharmacophore,1,False,True,False,0.2468666463249562,0.0,False,False,False
num_positive_ionizable,1,False,True,False,0.2468666463249562,0.0,False,False,False
num_hbd_pharmacophore,0,False,False,False,0.2468666463249562,0.0,False,False,False
num_hba_pharmacophore,0,False,False,False,0.1962360998019547,0.0,False,False,False
num_hydrophobic_pharmacophore,0,False,False,False,0.1924174183959022,0.0,False,False,False
num_negative_ionizable,0,False,False,False,0.1606800667295422,0.0,False,False,False
num_halogen_atoms,0,False,False,False,0.1443351954111658,0.0,False,False,False
