Simple_Name,Full_Name,Entrez_ID
BRAF,BRAF (673),673
KRAS,KRAS (3845),3845
NRAS,NRAS (4893),4893
HRAS,HRAS (3265),3265
MAP2K1,MAP2K1 (5604),5604
MAP2K2,MAP2K2 (5605),5605
MAPK1,MAPK1 (5594),5594
MAPK3,MAPK3 (5595),5595
RAF1,RAF1 (5894),5894
ARAF,ARAF (369),369
PIK3CA,PIK3CA (5290),5290
PIK3CB,PIK3CB (5291),5291
AKT1,AKT1 (207),207
AKT2,AKT2 (208),208
AKT3,AKT3 (10000),10000
MTOR,MTOR (2475),2475
PTEN,PTEN (5728),5728
BCL2,BCL2 (596),596
BCL2L1,BCL2L1 (598),598
BAX,BAX (581),581
BAK1,BAK1 (578),578
BID,BID (637),637
CASP3,CASP3 (836),836
CASP8,CASP8 (841),841
CASP9,CASP9 (842),842
CCND1,CCND1 (595),595
CCND2,CCND2 (894),894
CCND3,CCND3 (896),896
CDK4,CDK4 (1019),1019
CDK6,CDK6 (1021),1021
RB1,RB1 (5925),5925
TP53,TP53 (7157),7157
CDKN1A,CDKN1A (1026),1026
CDKN1B,CDKN1B (1027),1027
CDKN2A,CDKN2A (1029),1029
ABCB1,ABCB1 (5243),5243
ABCG2,ABCG2 (9429),9429
MET,MET (4233),4233
AXL,AXL (558),558
EGFR,EGFR (1956),1956
ATM,ATM (472),472
ATR,ATR (545),545
CHEK1,CHEK1 (1111),1111
CHEK2,CHEK2 (11200),11200
BRCA1,BRCA1 (672),672
BRCA2,BRCA2 (675),675
SRC,SRC (6714),6714
JAK1,JAK1 (3716),3716
JAK2,JAK2 (3717),3717
STAT3,STAT3 (6774),6774
STAT5A,STAT5A (6776),6776
STAT5B,STAT5B (6777),6777
TRIM51,TRIM51 (84767),84767
IL16,IL16 (3603),3603
CPN1,CPN1 (1369),1369
TRPV2,TRPV2 (51393),51393
TUFT1,TUFT1 (7286),7286
PHACTR1,PHACTR1 (221692),221692
CAPN3,CAPN3 (825),825
NHSL3,NHSL3 (57648),57648
KIAA1671,KIAA1671 (85379),85379
S100B,S100B (6285),6285
BCL2A1,BCL2A1 (597),597
MPZ,MPZ (4359),4359
EPB41L1,EPB41L1 (2036),2036
TYR,TYR (7299),7299
ROPN1,ROPN1 (54763),54763
MLANA,MLANA (2315),2315
TRIM51G,TRIM51G (120824),120824
GAPDHS,GAPDHS (26330),26330
TJP1,TJP1 (7082),7082
FCRLA,FCRLA (84824),84824
MMP8,MMP8 (4317),4317
EPB41L4B,EPB41L4B (54566),54566
ATP8B1,ATP8B1 (5205),5205
SLC45A2,SLC45A2 (51151),51151
NRROS,NRROS (375387),375387
SLC24A5,SLC24A5 (283652),283652
LPXN,LPXN (9404),9404
MRGPRX4,MRGPRX4 (117196),117196
WWC1,WWC1 (23286),23286
SOX10,SOX10 (6663),6663
DCT,DCT (1638),1638
IFFO1,IFFO1 (25900),25900
GYPC,GYPC (2995),2995
RNF125,RNF125 (54941),54941
CDR2L,CDR2L (30850),30850
KRT8,KRT8 (3856),3856
FCGR2A,FCGR2A (2212),2212
GAS7,GAS7 (8522),8522
CTLA4,CTLA4 (1493),1493
DLG5,DLG5 (9231),9231
BOK,BOK (666),666
PPP1R13L,PPP1R13L (10848),10848
FAM78A,FAM78A (286336),286336
GLIS2,GLIS2 (84662),84662
PLP1,PLP1 (5354),5354
PPL,PPL (5493),5493
OMG,OMG (4974),4974
PATJ,PATJ (10207),10207
PLA1A,PLA1A (51365),51365
OCLN,OCLN (100506658),100506658
