structural_feature,transcriptomic_feature,base_r2,interaction_r2,r2_improvement,f_statistic,p_value,p_adjusted,significant_fdr
logp,PARVA (55742),0.9823327507733915,0.9840412090483581,0.0017084582749665733,2475.0969817774085,1.1102230246251565e-16,1.1937881985216736e-16,True
fraction_csp3,IKZF1 (10320),0.9823327507733915,0.9839133183607228,0.001580567587331272,2271.6134650091954,1.1102230246251565e-16,1.1937881985216736e-16,True
fraction_csp3,PARVA (55742),0.9823327507733915,0.9840172740082757,0.0016845232348841055,2436.766870099998,1.1102230246251565e-16,1.1937881985216736e-16,True
fraction_csp3,CNN3 (1266),0.9823327507733915,0.9838448809010563,0.0015121301276647126,2164.0477137610114,1.1102230246251565e-16,1.1937881985216736e-16,True
fraction_csp3,CD151 (977),0.9823327507733915,0.9830279280784243,0.0006951773050327681,946.9968879830664,1.1102230246251565e-16,1.1937881985216736e-16,True
fraction_csp3,FAM114A1 (92689),0.9823327507733915,0.9848993942194785,0.0025666434460869247,3929.6964198664396,1.1102230246251565e-16,1.1937881985216736e-16,True
fraction_csp3,PTTG1IP (754),0.9823327507733915,0.9850144334537688,0.002681682680377273,4137.347986080312,1.1102230246251565e-16,1.1937881985216736e-16,True
fraction_csp3,GNA11 (2767),0.9823327507733915,0.9848155961965518,0.0024828454231602404,3780.4175209321465,1.1102230246251565e-16,1.1937881985216736e-16,True
logp,IKZF1 (10320),0.9823327507733915,0.9829728831227817,0.0006401323493901989,869.1935355011815,1.1102230246251565e-16,1.1937881985216736e-16,True
spatial_distribution_x,CUEDC1 (404093),0.9823327507733915,0.9824015095328275,6.875875943590515e-05,90.33175436962806,1.1102230246251565e-16,1.1937881985216736e-16,True
spatial_distribution_x,BCAR1 (9564),0.9823327507733915,0.9826759923005227,0.0003432415271311662,458.07784462664904,1.1102230246251565e-16,1.1937881985216736e-16,True
logp,WAS (7454),0.9823327507733915,0.9842029736104078,0.001870222837016211,2737.1956547659383,1.1102230246251565e-16,1.1937881985216736e-16,True
spatial_distribution_x,TJP1 (7082),0.9823327507733915,0.982385254102926,5.2503329534436816e-05,68.91254554152694,1.1102230246251565e-16,1.1937881985216736e-16,True
logp,NCKAP1 (10787),0.9823327507733915,0.9846923012893027,0.0023595505159111907,3563.749781000374,1.1102230246251565e-16,1.1937881985216736e-16,True
spatial_distribution_x,ARHGAP29 (9411),0.9823327507733915,0.9834961129676675,0.0011633621942759298,1629.733279133956,1.1102230246251565e-16,1.1937881985216736e-16,True
logp,PHLDB1 (23187),0.9823327507733915,0.9843353736925601,0.0020026229191685285,2955.745064226948,1.1102230246251565e-16,1.1937881985216736e-16,True
logp,SNX21 (90203),0.9823327507733915,0.9846714579546172,0.002338707181225641,3527.4659435875296,1.1102230246251565e-16,1.1937881985216736e-16,True
spatial_distribution_x,SNX21 (90203),0.9823327507733915,0.982840562523179,0.0005078117497874235,684.2070243236599,1.1102230246251565e-16,1.1937881985216736e-16,True
spatial_distribution_x,PHLDB1 (23187),0.9823327507733915,0.9827820148695562,0.0004492640961646366,603.2637282838137,1.1102230246251565e-16,1.1937881985216736e-16,True
spatial_distribution_x,NCKAP1 (10787),0.9823327507733915,0.9830124063866846,0.0006796556132930842,925.006692355676,1.1102230246251565e-16,1.1937881985216736e-16,True
