feature,num_methods,boruta,mi,shap,mi_score,shap_importance,set_a_strict,set_b_expanded,set_c_biological
hbond_max_distance,3,True,True,True,0.3715444386587281,0.12362635,True,True,True
gatekeeper_LEU790_mean_dist,3,True,True,True,0.3714977319946033,0.38255626,True,True,True
hydrophobic_mean_distance,2,True,True,False,0.373057888177732,0.010381257,True,True,True
hinge_TRP793_min_dist,2,False,True,True,0.3718359266000086,0.09290144,True,True,True
catalytic_lys_LYS721_min_dist,2,False,True,True,0.3716705013077188,0.13108847,True,True,True
p_loop_GLY697_mean_dist,2,True,True,False,0.3711115031133754,0.0,True,True,True
num_heavy_atoms,2,True,True,False,0.3710790892427722,0.0,True,True,True
spatial_distribution_z,2,True,True,False,0.3709121482662953,0.0,True,True,True
min_dist_to_protein,1,False,True,False,0.3730311508362343,0.0028306644,False,True,True
total_energy_estimate,1,False,True,False,0.3726464648118437,0.0011152864,False,True,True
ligand_efficiency,1,False,True,False,0.3726058565949044,0.0,False,True,True
atom_density,1,False,True,False,0.3725761410803296,0.0,False,True,True
hbond_min_distance,1,False,True,False,0.3724869206413439,0.0,False,True,True
pca_axis1_x,1,False,True,False,0.3723191745197143,0.002040363,False,True,True
dfg_GLY833_min_dist,1,False,True,False,0.3722409236391897,0.0038070725,False,True,True
catalytic_lys_LYS721_mean_dist,1,False,True,False,0.3721055030082421,0.015228231,False,True,True
pharmacophore_span,1,False,True,False,0.372088191446084,0.0,False,True,True
p_loop_GLY697_min_dist,1,False,True,False,0.3719488382440175,0.0,False,True,True
ligand_centroid_y,1,False,True,False,0.3719037995339045,0.0,False,True,True
hbond_mean_distance,1,False,True,False,0.3718518043216625,0.0,False,True,True
lipophilic_efficiency,1,False,True,False,0.3717979297325202,0.0,False,True,True
pharmacophore_radius,1,False,True,False,0.371745552149437,0.0,False,True,True
molecular_compactness,1,False,True,False,0.3717236275321607,0.0,False,True,True
fraction_csp3,1,False,True,False,0.3716863040479023,0.0,False,True,True
polar_fraction,1,False,True,False,0.3716853293486757,0.0,False,True,True
gatekeeper_LEU790_min_dist,1,False,True,False,0.3716826020411816,0.011351405,False,True,True
spatial_distribution_x,1,False,True,False,0.3716810918775763,0.0020043396,False,True,True
p_loop_GLY695_min_dist,1,False,True,False,0.3716797020577345,0.0040543913,False,True,True
dfg_GLY833_mean_dist,1,False,True,False,0.3716439666493158,0.0,False,True,True
pharmacophore_triangular_area,1,False,True,False,0.371634987129136,0.0,False,True,True
spatial_distribution_y,1,False,True,False,0.3716009404166485,0.0,False,True,True
pca_axis1_y,1,False,True,False,0.3715695827432532,0.0,False,True,True
c_helix_GLU738_min_dist,1,False,True,False,0.3715487431809112,0.0026153217,False,True,True
total_interactions,1,False,True,False,0.3715165108695535,0.0,False,True,True
c_helix_GLU738_mean_dist,1,False,True,False,0.3715063305864441,0.0010897313,False,False,True
p_loop_GLY695_mean_dist,1,False,True,False,0.3714855543990336,0.0014597154,False,False,True
dfg_PHE832_mean_dist,1,False,True,False,0.3714073457459745,0.0023807774,False,False,False
ligand_surface_area,1,False,True,False,0.371400445161766,0.0,False,False,False
ligand_sasa,1,False,True,False,0.3713541790348063,0.0,False,False,False
centroid_distance,1,False,True,False,0.371343176856147,0.0020169937,False,False,False
pca_axis1_z,1,False,True,False,0.3713296247716049,0.0,False,False,False
hydrophobic_surface_area,1,False,True,False,0.3712991299558377,0.0,False,False,False
num_rotatable_bonds,1,False,True,False,0.3712549163223584,0.0,False,False,False
catalytic_lys_LYS721_contacts,1,False,True,False,0.3712465581354296,0.058271285,False,False,True
ligand_centroid_x,1,False,True,False,0.3711210288290116,0.0,False,False,False
spatial_volume_ratio,1,False,True,False,0.3711054168273175,0.0,False,False,False
dfg_ASP831_contacts,1,False,True,False,0.3710971666896712,0.022699581,False,False,True
interaction_density,1,False,True,False,0.3710899585327629,0.0,False,False,False
best_affinity,1,False,True,False,0.3708795191116421,0.0,False,False,False
logp,1,False,True,False,0.3708182877631958,0.0,False,False,False
hydrophobic_min_distance,1,True,False,False,0.3706355051103913,0.0,False,True,True
num_hba_pharmacophore,1,True,False,False,0.3202531853300734,0.0,False,True,True
num_hbd_pharmacophore,1,True,False,False,0.302510907168366,0.0,False,True,True
ligand_planarity,0,False,False,False,0.3707872416880517,0.0,False,False,False
dfg_PHE832_min_dist,0,False,False,False,0.3707529363886226,0.003068463,False,False,False
ligand_centroid_z,0,False,False,False,0.370625074124558,0.0,False,False,False
shape_complementarity,0,False,False,False,0.3706005504586036,0.0,False,False,False
pca_variance_pc3,0,False,False,False,0.3703487544590467,0.0014054129,False,False,False
ligand_volume,0,False,False,False,0.3681653322609675,0.0011413026,False,False,False
pca_variance_pc2,0,False,False,False,0.3643498332796118,0.0024841262,False,False,False
num_hydrophobic_pharmacophore,0,False,False,False,0.3552334786119551,0.0,False,False,False
max_negative_charge,0,False,False,False,0.3203431001513366,0.0,False,False,False
abs_total_charge,0,False,False,False,0.309444399969315,0.0,False,False,False
total_charge,0,False,False,False,0.2990716893115273,0.0037846987,False,False,False
max_positive_charge,0,False,False,False,0.2899486394746513,0.0,False,False,False
num_hbonds,0,False,False,False,0.2830722072859974,0.0039318125,False,False,False
aromatic_min_distance,0,False,False,False,0.2640196907985053,0.0,False,False,False
aromatic_mean_distance,0,False,False,False,0.2631838712286027,0.0,False,False,False
num_negative_ionizable,0,False,False,False,0.2403838336009125,0.0,False,False,False
num_hbonds_lig_donor,0,False,False,False,0.2387098539891723,0.0,False,False,False
p_loop_GLY697_contacts,0,False,False,False,0.1808857231861205,0.0,False,False,False
num_aromatic_pharmacophore,0,False,False,False,0.1774039387846331,0.0,False,False,False
num_hbonds_prot_donor,0,False,False,False,0.1709032257745772,0.0,False,False,False
num_positive_ionizable,0,False,False,False,0.1599311278964941,0.0,False,False,False
p_loop_GLY695_contacts,0,False,False,False,0.1499903167101213,0.0,False,False,False
buried_surface_area,0,False,False,False,0.1440243741344653,0.0,False,False,False
num_polar_atoms,0,False,False,False,0.1331205655940133,0.0,False,False,False
dfg_PHE832_contacts,0,False,False,False,0.0727769947783691,0.0,False,False,False
num_halogen_atoms,0,False,False,False,0.0454238732323375,0.0,False,False,False
c_helix_GLU738_contacts,0,False,False,False,0.0402929910352944,0.0,False,False,False
