feature,shap_importance
dfg_GLY210_min_dist,0.76304865
pca_variance_pc1,0.30263045
allosteric_TYR130_min_dist,0.043283183
a_loop_SER218_mean_dist,0.034091603
a_loop_SER218_min_dist,0.0251064
a_loop_SER222_min_dist,0.003104009
allosteric_CYS207_mean_dist,0.0014808589
allosteric_CYS207_min_dist,0.0
p_loop_GLY77_mean_dist,0.0
p_loop_GLY79_contacts,0.0
p_loop_GLY79_min_dist,0.0
centroid_distance,0.0
min_dist_to_protein,0.0
pca_variance_pc2,0.0
shape_complementarity,0.0
ligand_centroid_x,0.0
ligand_centroid_y,0.0
ligand_centroid_z,0.0
ligand_sasa,0.0
polar_fraction,0.0
max_positive_charge,0.0
max_negative_charge,0.0
logp,0.0
tpsa,0.0
num_rotatable_bonds,0.0
num_heavy_atoms,0.0
fraction_csp3,0.0
vina_affinity,0.0
best_affinity,0.0
lipophilic_efficiency,0.0
hbond_min_distance,0.0
hbond_mean_distance,0.0
hbond_max_distance,0.0
num_aromatic_interactions,0.0
aromatic_min_distance,0.0
aromatic_mean_distance,0.0
hydrophobic_min_distance,0.0
hydrophobic_mean_distance,0.0
num_halogen_atoms,0.0
total_interactions,0.0
interaction_density,0.0
num_hbd_pharmacophore,0.0
num_hba_pharmacophore,0.0
num_aromatic_pharmacophore,0.0
num_hydrophobic_pharmacophore,0.0
num_positive_ionizable,0.0
num_negative_ionizable,0.0
pharmacophore_span,0.0
pharmacophore_radius,0.0
pharmacophore_triangular_area,0.0
spatial_distribution_y,0.0
spatial_distribution_z,0.0
spatial_volume_ratio,0.0
molecular_compactness,0.0
atom_density,0.0
