feature,confirmed,tentative,ranking
hinge_TRP793_min_dist,False,False,35
gatekeeper_LEU790_min_dist,False,False,37
gatekeeper_LEU790_mean_dist,True,False,1
catalytic_lys_LYS721_min_dist,False,False,11
catalytic_lys_LYS721_mean_dist,False,False,10
catalytic_lys_LYS721_contacts,False,False,7
dfg_ASP831_contacts,False,False,27
dfg_PHE832_min_dist,False,False,33
dfg_PHE832_mean_dist,False,False,50
dfg_PHE832_contacts,False,False,47
dfg_GLY833_min_dist,False,False,3
dfg_GLY833_mean_dist,False,False,13
c_helix_GLU738_min_dist,False,False,34
c_helix_GLU738_mean_dist,False,False,7
c_helix_GLU738_contacts,False,False,65
p_loop_GLY695_min_dist,False,False,20
p_loop_GLY695_mean_dist,False,False,15
p_loop_GLY695_contacts,False,False,66
p_loop_GLY697_min_dist,False,False,22
p_loop_GLY697_mean_dist,True,False,1
p_loop_GLY697_contacts,False,False,69
centroid_distance,False,False,31
min_dist_to_protein,False,False,39
ligand_volume,False,False,55
ligand_surface_area,False,False,60
ligand_planarity,False,False,59
pca_variance_pc2,False,False,26
pca_variance_pc3,False,False,48
pca_axis1_x,False,False,43
pca_axis1_y,False,False,24
pca_axis1_z,False,False,19
shape_complementarity,False,False,11
buried_surface_area,False,False,54
ligand_centroid_x,False,False,5
ligand_centroid_y,False,False,57
ligand_centroid_z,False,False,14
total_energy_estimate,False,False,21
ligand_sasa,False,False,56
num_polar_atoms,False,False,69
polar_fraction,False,False,16
total_charge,False,False,63
abs_total_charge,False,False,29
max_positive_charge,False,False,18
max_negative_charge,False,False,69
logp,False,False,42
num_rotatable_bonds,False,False,27
num_heavy_atoms,True,False,1
fraction_csp3,False,False,44
best_affinity,False,False,25
ligand_efficiency,False,False,2
lipophilic_efficiency,False,False,23
num_hbonds,False,False,66
num_hbonds_lig_donor,False,False,58
num_hbonds_prot_donor,False,False,61
hbond_min_distance,False,False,52
hbond_mean_distance,False,False,51
hbond_max_distance,True,False,1
aromatic_min_distance,False,False,9
aromatic_mean_distance,False,False,5
hydrophobic_min_distance,True,False,1
hydrophobic_mean_distance,True,False,1
hydrophobic_surface_area,False,False,45
num_halogen_atoms,False,False,72
total_interactions,False,False,49
interaction_density,False,False,52
num_hbd_pharmacophore,True,False,1
num_hba_pharmacophore,True,False,1
num_aromatic_pharmacophore,False,False,62
num_hydrophobic_pharmacophore,False,False,3
num_positive_ionizable,False,False,31
num_negative_ionizable,False,False,63
pharmacophore_span,False,False,37
pharmacophore_radius,False,False,41
pharmacophore_triangular_area,False,False,45
spatial_distribution_x,False,False,40
spatial_distribution_y,False,False,69
spatial_distribution_z,True,False,1
spatial_volume_ratio,False,False,36
molecular_compactness,False,False,30
atom_density,False,False,16
